created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-01T18:42:46Z,1620855190529183700,1620855190529183744,"RT @nhannahjones: This response by the college board, caving to bad-faith attacks by conservatives and letting them determining the proper…","RT @nhannahjones: This response by the college board, caving to bad-faith attacks by conservatives and letting them determining the proper…",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,2659,0,FALSE,NA,FALSE,NA,en,NA,NA,139,,,1620786730608758800,1620786730608758785,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-01T18:28:57Z,1620851715527561200,1620851715527561217,This is systemic racism in action. https://t.co/kGtDlDrXDH,This is systemic racism in action. https://t.co/kGtDlDrXDH,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1620851711823970300,1620851711823970305,360888478,360888478,wjakethompson,,,,NA,FALSE,0,1,FALSE,NA,FALSE,NA,en,FALSE,NA,34,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-01T18:28:56Z,1620851711823970300,1620851711823970305,Absolutely shameful decision from @CollegeBoard. https://t.co/3VzmhS0uik,Absolutely shameful decision from @CollegeBoard. https://t.co/3VzmhS0uik,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,0,FALSE,NA,FALSE,NA,en,FALSE,NA,48,,,1620848228836036600,1620848228836036608,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-26T16:43:00Z,1618650726363693e3,1618650726363693057,RT @jowrotethis: It’s five and frankly it’s not even close. https://t.co/IbWV3O3VZF,RT @jowrotethis: It’s five and frankly it’s not even close. https://t.co/IbWV3O3VZF,FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,97,0,FALSE,NA,FALSE,NA,en,FALSE,NA,83,,,1618384965162635300,1618384965162635264,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-19T19:34:18Z,1616157118083498e3,1616157118083497984,"RT @jazayerli: And second, I wrote something! I return to The Ringer to write my annual paean to Patrick Mahomes, who has been the best pla…","RT @jazayerli: And second, I wrote something! I return to The Ringer to write my annual paean to Patrick Mahomes, who has been the best pla…",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,77,0,FALSE,NA,FALSE,NA,en,NA,NA,140,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-13T15:13:00Z,1591811372454592500,1591811372454592512,"{taylor} 2.0.0 is now on CRAN! Check out all of the updates in the blog post or the 🧵👇

https://t.co/14IewNymVM https://t.co/8pomCQ71Nc","{taylor} 2.0.0 is now on CRAN! Check out all of the updates in the blog post or the 🧵👇

https://t.co/14IewNymVM https://t.co/8pomCQ71Nc",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,TRUE,0,1,FALSE,NA,FALSE,NA,en,FALSE,NA,111,,,1583530190881558500,1583530190881558528,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24T19:37:30Z,1584630181452517400,1584630181452517380,@bmwiernik A more complicated example from a real use case of passing arguments to Stan is here: https://t.co/birscZ8uTj,@bmwiernik A more complicated example from a real use case of passing arguments to Stan is here: https://t.co/birscZ8uTj,FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1584630022807101400,1584630022807101440,360888478,360888478,wjakethompson,,,,NA,FALSE,0,1,FALSE,NA,FALSE,NA,en,FALSE,NA,120,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24T19:36:53Z,1584630022807101400,1584630022807101440,"@bmwiernik Ah. What I've done in the past is after creating the updated list of arguments, I add data to the list, and then pass everything the modeling function with `https://t.co/ET3ZrEv98H()`. https://t.co/0Ba0h2woUI","@bmwiernik Ah. What I've done in the past is after creating the updated list of arguments, I add data to the list, and then pass everything the modeling function with `https://t.co/ET3ZrEv98H()`. https://t.co/0Ba0h2woUI",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1584626645377650700,1584626645377650688,126615639,126615639,bmwiernik,,,,NA,FALSE,0,3,FALSE,NA,FALSE,NA,en,FALSE,NA,195,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24T19:20:09Z,1584625813009342500,1584625813009342469,"@bmwiernik I usually have my defaults in list x, and then the `...` become list y. User specified elements will overwrite the defaults I've stored in list x.","@bmwiernik I usually have my defaults in list x, and then the `...` become list y. User specified elements will overwrite the defaults I've stored in list x.",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1584625569551065e3,1584625569551065089,360888478,360888478,wjakethompson,,,,NA,FALSE,0,0,FALSE,NA,FALSE,NA,en,NA,NA,157,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-10-24T19:19:11Z,1584625569551065e3,1584625569551065089,@bmwiernik I think `purrr::list_modify()` is what you're looking for,@bmwiernik I think `purrr::list_modify()` is what you're looking for,FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1584623800100192300,1584623800100192256,126615639,126615639,bmwiernik,,,,NA,FALSE,0,2,FALSE,NA,FALSE,NA,en,NA,NA,68,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
